,coef,std_err,z,p_value,ci_low,ci_high,train_deals,premium_%,ppm2_400m2_2025Q4
الرياض/الحزم,0.2837127301054394,0.05218305519423852,5.436874653072514,5.422325522507906e-08,0.1814339419247319,0.3859915182861469,1165,40.02366163696287,3089.243935147432
الرياض/الحمراء,0.8825385413324447,0.05929294467198862,14.884376989786723,4.163466602563976e-50,0.766324369775347,0.9987527128895424,348,154.8403399567223,5622.363859355005
الرياض/الخالدية,-0.008633153025372976,0.0645104872023296,-0.13382557472083725,0.8935405033963479,-0.13507370794193901,0.11780740189119306,218,4.529103695218439,2306.1523735471906
الرياض/الخزامى,1.466155275837537,0.07067347774510156,20.74548080293328,1.346713215829993e-95,1.327635259457138,1.604675292217936,179,356.8037948412565,10078.14205305117
الرياض/الخليج,0.538806437221066,0.05615216648771164,9.595470146979611,8.353538072248189e-22,0.4287481909051512,0.6488646835369808,482,80.71209457233964,3986.924321496398
الرياض/الخير,-0.3833017159573181,0.050071973753988634,-7.655015115652097,1.9328950602894076e-14,-0.48144278451513584,-0.28516064739950037,19053,-28.134452749169782,1585.5192143616484
الرياض/الدار البيضاء,0.12270299502558049,0.052515949633766136,2.3364900736115843,0.019465714352751316,0.01977173374339887,0.22563425630776213,1579,19.199872493010783,2629.8232660427375
الرياض/الدريهمية,0.3281424061071646,0.055199168495250354,5.944698354204372,2.7696640538742656e-09,0.2199520358564739,0.4363327763578553,418,46.38514034832853,3229.592782605858
الرياض/الرائد,1.335152403193192,0.07099272706438822,18.806889922431772,6.631598506353999e-79,1.1960066581469913,1.4742981482393929,117,300.71525712995924,8840.69994555115
الرياض/الرابية,-1.1155719185497395,0.05116130497964846,-21.804993422147945,2.080364360614024e-105,-1.2158480763098505,-1.0152957607896285,919,-65.44588066364135,762.3433235945912
الرياض/الراية,-1.3659621463058529,0.055144319414732045,-24.77067739348924,1.8564817611978582e-135,-1.4740450123587276,-1.2578792802529781,307,-73.09972408523268,593.4819390664379
الرياض/الربوة,0.769351384720688,0.05619114969147009,13.691682568251078,1.1384220851928525e-42,0.6592167313254066,0.8794860381159694,500,127.56822297314847,5020.67825132848
الرياض/الربيع,1.0860350281108282,0.06302051832967882,17.233038649880033,1.5005721471879675e-66,0.9625148121846577,1.2095552440369988,363,212.35292488621863,6891.223722831093
الرياض/الرحمانية,1.2897637297950826,0.06074029344962789,21.234071430107388,4.627470872401441e-100,1.1707127546338119,1.4088147049563533,172,282.93391159558456,8448.402578030178
الرياض/الرسالة,-1.487011369824749,0.0561153659196612,-26.499183342289196,9.904668332625879e-155,-1.596997487027285,-1.3770252526222129,193,-76.16661520903855,525.819269106136
الرياض/الرفيعة,0.6225345963560039,0.06361865331497028,9.785409843146013,1.3006725551335798e-22,0.49784203585866216,0.7472271568533457,212,96.49427308354362,4335.11546775822
الرياض/الرمال,0.4928908774004431,0.05023953849578815,9.810816184980775,1.0114709836620852e-22,0.3944213819486983,0.5913603728521879,6672,72.60220733798776,3808.0015618673397
الرياض/الروابى,0.6696495637540338,0.05874156180234788,11.399927805924769,4.184659528873227e-30,0.554516102621432,0.7847830248866356,389,105.97365117053155,4544.252344496387
الرياض/الروضة,0.7314431165051423,0.05406601847043013,13.52870318914244,1.0587488311234053e-41,0.6254737203030992,0.8374125127071853,565,119.102970976554,4833.915327946459
الرياض/الريان,0.9986715960230271,0.05470118015523693,18.256856491740923,1.8250042817406386e-74,0.8914572829187628,1.1058859091272915,392,186.22273056782092,6314.731554445847
الرياض/الزاهر,-1.1142992925666957,0.05077787573678699,-21.944582682875417,9.755905908422861e-107,-1.2138239290107982,-1.0147746561225932,2015,-65.4018782001523,763.3141191149759
الرياض/الزهراء,0.657411725260797,0.06890644480725387,9.540642056047426,1.4195072670355216e-21,0.5223550934385794,0.7924683570830147,76,103.46833995782774,4488.979418627843
الرياض/الزهرة,0.22788040593709916,0.06225505693738399,3.6604320539984534,0.0002517903185030415,0.10586049433982653,0.3499003175343718,252,32.42005380967099,2921.490863337318
الرياض/السحاب,-1.3509380673743412,0.05107855373085105,-26.448244296282514,3.822426816808803e-154,-1.4510520326868093,-1.250824102061873,2051,-72.69252095015065,602.4657765173295
الرياض/السعادة,0.4640502671665094,0.053495183629720965,8.674617707241431,4.1494205039656705e-18,0.3591997072522563,0.5689008270807625,630,67.69535280440864,3699.745068419746
الرياض/السلام,0.6435308007772542,0.05936973074347467,10.839375431191167,2.239950182669452e-27,0.5271661285200439,0.7598954730344646,238,100.66352305775186,4427.098708635962
الرياض/السلى,0.26630211934685516,0.056846148438248825,4.684611476116722,2.804914768351047e-06,0.15488366840788748,0.37772057028582284,420,37.60686417702062,3035.9238261863966
