year,quarter,region,city,district,prop_type,prop_type_en,prop_class,prop_class_en,deed_count,total_price,area_m2,avg_ppm2,max_ppm2,min_ppm2
2024,1,الرياض,الرياض,الدار البيضاء,أرض,land,تجاري,commercial,44,102292172.24,50941.17,1687.50432337971,2971.43,1175.0
2024,1,الرياض,الرياض,الدار البيضاء,أرض,land,سكني,residential,42,27265092.82,20056.78,1355.7073761893,1600.0,1175.0
2024,1,الرياض,الرياض,الدار البيضاء,شقة,apartment,سكني,residential,138,59359904.19,20720.99,2867.39039925944,3567.79,2265.39
2024,1,الرياض,الرياض,الدار البيضاء,فيلا,villa,سكني,residential,117,114537487.58,37650.37,3171.76196731281,4000.0,2272.73
2024,1,الرياض,الرياض,الدريهمية,أرض,land,سكني,residential,11,18987974.45,6404.9,2513.6583989535,3367.92,2000.0
2024,1,الرياض,الرياض,الدريهمية,شقة,apartment,سكني,residential,16,9254219.01,2507.355,3497.54662756862,3744.02,3230.97
2024,1,الرياض,الرياض,الدريهمية,فيلا,villa,سكني,residential,7,4837000.0,1106.44,3730.3634594294,4409.86,2984.88
2024,1,الرياض,الرياض,الدفاع,أرض,land,تجاري,commercial,1,1320000.0,1200.0,,,
2024,1,الرياض,الرياض,الدوبية,أرض,land,سكني,residential,1,1150000.0,266.69,,,
2024,1,الرياض,الرياض,الديرة,أرض,land,تجاري,commercial,1,3500000.0,678.65,,,
2024,1,الرياض,الرياض,الديرة,أرض,land,سكني,residential,1,650000.0,12.55,,,
2024,1,الرياض,الرياض,الديرة,شقة,apartment,سكني,residential,1,140000.0,111.79,,,
2024,1,الرياض,الرياض,الرائد,أرض,land,تجاري,commercial,1,61673344.0,5000.0,,,
2024,1,الرياض,الرياض,الرائد,شقة,apartment,سكني,residential,16,20882800.0,2193.29,9641.18070065173,11945.85,8522.88
2024,1,الرياض,الرياض,الرائد,فيلا,villa,سكني,residential,3,4970000.0,459.08,,,
2024,1,الرياض,الرياض,الراية,أرض,land,سكني,residential,36,15366200.0,29847.9,498.339845711487,555.555555555556,444.44
2024,1,الرياض,الرياض,الربوة,أرض,land,تجاري,commercial,15,105372341.0,23786.42,4209.18399546428,4699.09,3800.0
2024,1,الرياض,الرياض,الربوة,أرض,land,سكني,residential,49,110449477.6,33006.78,3416.32870834812,3800.0,3055.5
2024,1,الرياض,الرياض,الربوة,شقة,apartment,سكني,residential,8,6785250.0,920.13,7192.07714686998,8101.24,5921.05
2024,1,الرياض,الرياض,الربوة,فيلا,villa,سكني,residential,27,77556761.66,10483.335,8096.85848322502,9535.51,5866.67
2024,1,الرياض,الرياض,الربيع,أرض,land,تجاري,commercial,11,526506220.44,72582.23,5278.48004102234,9547.1,5145.68
2024,1,الرياض,الرياض,الربيع,أرض,land,سكني,residential,40,639232749.8,123623.94,5147.1587256201,7142.86,3497.65
2024,1,الرياض,الرياض,الربيع,شقة,apartment,سكني,residential,7,6837660.0,949.23,6436.30781619608,6908.8,5903.19
2024,1,الرياض,الرياض,الربيع,فيلا,villa,سكني,residential,6,18300000.0,2060.81,8914.30995287677,9076.92,8765.78
2024,1,الرياض,الرياض,الرحمانية,أرض,land,تجاري,commercial,4,375353334.0,10801.0,,,
2024,1,الرياض,الرياض,الرحمانية,أرض,land,سكني,residential,12,52305030.0,9530.334,5847.71043735655,6249.94,5400.0
2024,1,الرياض,الرياض,الرحمانية,شقة,apartment,سكني,residential,2,2300000.0,194.09,,,
2024,1,الرياض,الرياض,الرحمانية,فيلا,villa,سكني,residential,8,29850000.0,2906.78,12247.5745944799,12847.22,11932.14
2024,1,الرياض,الرياض,الرسالة,أرض,land,سكني,residential,20,14425000.0,38668.59,375.525995652434,407.5,325.0
2024,1,الرياض,الرياض,الرفيعة,أرض,land,تجاري,commercial,2,9449000.0,1559.245,,,
2024,1,الرياض,الرياض,الرفيعة,أرض,land,سكني,residential,13,17046883.89,4858.063,3554.2252052347,4315.68,2300.0
2024,1,الرياض,الرياض,الرفيعة,شقة,apartment,سكني,residential,7,5420000.0,584.61,9271.13802363969,10441.32,8504.37
2024,1,الرياض,الرياض,الرفيعة,فيلا,villa,سكني,residential,22,42320610.96,5652.275,6916.30086049496,7908.28,5789.25
2024,1,الرياض,الرياض,الرمال,أرض,land,تجاري,commercial,103,1072255292.7,597351.721,2483.5335593361,3200.0,2150.54
2024,1,الرياض,الرياض,الرمال,أرض,land,سكني,residential,482,620492348.52,323592.6322,2625.12070120402,3000.0,2300.0
2024,1,الرياض,الرياض,الرمال,شقة,apartment,سكني,residential,337,248571734.0,47053.91,5276.02102726499,6009.6,4650.21
2024,1,الرياض,الرياض,الرمال,فيلا,villa,سكني,residential,344,508137332.4,103265.12,4952.53073886565,5921.42,4193.0
2024,1,الرياض,الرياض,الروابي,أرض,land,سكني,residential,11,14582000.0,4177.3,3643.64553768527,4204.55,3333.33
2024,1,الرياض,الرياض,الروابي,شقة,apartment,سكني,residential,16,15954525.0,2474.616,6466.84078851937,7216.63,5312.5
